Speaker Name,Speaker Title,Speaker Company
Abbey Gore,Digital Lead,Laing O'Rourke
Adam Ward,CTO,Twinview
AJ Jenkins,"Senior Manager, EMEA Expansion",Autodesk Construction Solutions
Akhila Murali,Digital Construction Manager,McLaren
Alan Williamson,Senior Services Manager,Multiplex
Alastair Blenkin,Founder and CEO,Procurepro
Aleksandra Dasala,Smart Buildings Consultant,Nu Xform
Alex King,Associate Director of Information Management,Jacobs UK
Alex King,Head of Data & AI Ecosystem,Google Cloud EMEA
Alex Oliveira,Senior BIM Manager,BDP
Alex Plenty,Head of Digital Construction,Skanska
Alex Small,Digital Platforms & Innovation Lead,Tata Steel Europe
Alexandra Hussenot,Chief Revenue Officer,Igloo Vision
Ali Nader Saad,PhD Researcher,University of Salford
"Alison Watson, MBE",Founder and CEO,Class of Your Own
Allister Lewis,CEO & Founder,ADDD
Amelia Fletcher-Blackburn,Enterprise Client Partner,Causeway Technologies
Amir Berman,VP of Industry Transformation,Buildots
Ana Matic,Director of Digital Development,Scott Brownrigg
Anand Mecheri,CEO,Twinit
Andrea Charlson,Managing Director,Madaster
Andrew Cavey,Chief Commercial Officer,Xperience
Andrew De Silva “Das”,Director & Architect,David Miller Architects
Andrew Germain,Associate Technical Director (BIM Manager),Arcadis
Andrew Newman,Principle Data Specialist,The Open Data Institute
Andrew Norrie,Head of Business Development,Elecosoft
Andrew Victory,Global Digital Transformation Leader,Arcadis
Andrew Waring,Digital Director,Digital Guerrilla
Andy Fulterer,Owner & Director,Fulterer Consulting
Anna Friel,Digital Construction Apprentice,Kier Construction
Anna Galika,Digital Engineering and BIM Manager,Mace
Anna Mytcul,Visualisation Specialist,KPF
Aristodimos Komninos,Trimble,
Arushan Mahendrakumar,Digital Construction Capacity Building Lead,Connected Places Catapult
Ashley Dawson,Digital Construction Lead,Kier Construction
Ashwin Kumar Arunachalam,Senior Consultant - Information Management,Turner & Townsend
Athina Papakosta,Sustainability & Carbon Lead,Skanska Costain STRABAG JV
Austin Baker,"Product Marketing Manager, XR",Autodesk
Ayushi Chandani,Senior BIM Consultant,Turner and Townsend
Az Jasat,"Senior Manager, Industrialised Construction",Autodesk
Barry Gleeson,"Technical Director BIM – Digital Lead Water, Energy, Earth & Environment",WSP
Becky Ray,CEO,Culture Kick
Ben Hardie,Digital engineer,Laing O'Rourke
Ben Huskisson,Chief Digital Officer,Gleeds
Ben Jowett,Head of Digital Construction and Engineering,SES Engineering Services (Wates Group)
Ben Wallbank,"Digital Strategy & Partnership Manager, EMEA",Trimble
Bola Abisogun,Founder & CEO,Digital Twin Skills Academy CIC
Brahm Lategan,Digital Buildings Consultant,MiX Consultancy
Brett King,"Director, Industry Transformation EMEA",Procore
Brian Glancy,Partner,Manufacturers Information Hub
Brittany Harris,Co-Founder,Qflow
Bruno Mota,Associate Director,Assystem
Cameron McDonald,Head of Geospatial,Knight Frank
Caner Dolas,Co-Founder & CEO,GAMMA Technologies
Carl Edwards,Project Executive and BIM Lead,PCM EA Eastern Hub
Carl Storms,Technical Success Manager,Newforma
Carmine Andrea Rago,Associate Director – BIM Manager and Computational Lead,AECOM
Catherine Everett,Wellbeing Lead,Fit for Work
Catherine Thompson,"Director, Human Capital",Deloitte
Chad Bedard,Digital Construction Manager,Sir Robert McAlpine
Charles Sheridan,Chief Data & AI Officer,Nemeschek Group
Charlie Dowling,Assistant Digital Construction Coordinator,Kier Construction
Chris Carlon,UK Data Services Lead,The Data City
Chris Dill,Vice President & CIO,Kiewit
Chris Jones,Architect Associate,BDP
Chris Lees,CEO,Data Clan
Chris Oldham,Senior Policy & Programme Manager,City of London Corporation
Chris Shafer,Director of Operations,Guardian for Revit
Christian Dalhuizen,Senior Customer Success Manager,BIMcollab
Christos Stamatis,Associate Director,AtkinsRéalis
Claire Callan,Smart Places Technical Director,WSP
Claire Campbell,Health & Safety Associate,Ridge and Partners
Clara Moreno,Principal Digital Consultant,Mott MacDonald
Clare Taylor,Head of Digital Delivery,MWH Treatment
Cliff Smith,Executive Director,Get It Right Initiative (GIRI)
Colin Bell,Digital Construction Director,Kier Construction
Craig Wynne,"Partner, Head of Technical Services IT",Rider Levett Bucknall UK
Cristina Ruiz Nolasco,Senior Digital Construction Manager,Sir Robert McAlpine
Cristina Sánchez Jiménez,BIM Manager and Digital Engineer,Bovis
Dale Sinclair,"Global MMC Lead, Head of Digital Innovation",WSP
Dan Drogman,CEO and Founder,Smart Spaces
Dan Kilarski-Marlow,Architect,Anotherkind Architecture
Dan Rossiter,Sector Lead,BSI
Daniel Leech,Managing Director | Large Scale Residential Lead,D4S Structural Engineers
Daniel Watson,UK Director,Hereworks
Daniel Webster,Partner,Gardiner and Theobald
Darren Barker,Technical Principal,Mott MacDonald
Darren Hesketh,Sales Manager,4PS Construction Solutions
Dave Lee,Director (UK Regional),IIMBE
Dave Shepherd,"Digital Product Manager (Data, Construction & Programme Enablers)",Restoration and Renewal Delivery Authority for Parliament
David Ayeni,Global Director of Construction Product Strategy,Bentley Systems
David Brakoniecki,BP3 Global,
David de Koning,Head of Structural Products,Oasys
David John Varghese,Chartered Civil Engineer,AtkinsRéalis
David Johnson,Co-Owner,The Modern Builder
David Philp,Chief Value Officer - Advisory Services,Bentley Systems
Davina Cooper,Asset Data Requirements Manager,Defence Infrastructure Organisation
Dhaval Norotam,Inside Sales Representative,Bluebeam
Diana Chirescu,"Architect, Senior Information Manager",Architype
Diego Guevara,Major Programmes Senior Manager,Deloitte MCS
Dimitrios Repanas,Corporate Manager (International Team),Zigurat Institute of Technology
Don Bokor,Digital PMO Lead – Associate Director,Arcadis
Dorothee Schmid,Strategic Partnerships Global,Autodesk
Dr Andrew Evans,Senior Product Manager,Topcon
Dr Ash Ahmed,Reader,Leeds Beckett University
Dr Bhargav Dave,Co-Founder and CEO,VisiLean Oy
Dr Claire Evans,Head of Geography,Bloxham School
Dr Dean Douglas,Digital Consultant,Okana
Dr Jamie Dupée,CTO,Glider Technology
Dr Mahendrini Ariyachandra,Assistant Professor,University College London
Dr Melanie Robinson,Strategy & Intelligence Lead,Okana
Dr Reyhaneh Shojaei,Senior Lecturer & Researcher,University of Portsmouth
Dr Thomas Levermore,Senior Systems Engineer,Connected Places Catapult
Dr Vahid Babaveisi,Postdoctoral Researcher,University of Salford
Dr Yishuang Xu,Associate Professor,University of Manchester
Dr. Nana Yaa Nsiah-Appiah,Researcher,"Loughborough University’s School of Architecture, Building and Civil Engineering."
Dr. Nikos Papapesios,Head of Innovation Analytics,Knight Frank
Ed Lambourn,Major Programmes Associate Director,Deloitte MCS
Ed Riby,Real Estate Director,JLL
Elaine Lewis,"Director, Business Development",Bentley Systems
Elektra Politis,Health and Safety Advisor,Laing O'Rouke
Elizabeth Bishop,Programme Director,University of Nottingham
Ellen Willis,Thrive Sustainability Consultant,Chetwoods
Elliott Poulter,SMB Business Lead for Business Applications,Microsoft
Ellys Dobson,Assistant Digital Construction Coordinator,Kier Construction
Emanuel Groh,Co-Founder,Specter Automation
Emer Murnaghan,Innovation Director,GRAHAM Civil Engineering
Emma Hooper,Head of Information Management Strategy (RLB Digital) Vice chair (nima and buildingSMART UK&I),"RLB Digital, nima, & buildingSMART UK&I"
Emma Mulqueeny OBE,Head of ESG,Causeway Technologies
Emma Wei,Digital Consultant,Mott MacDonald
Estefania Alves,Digital Lead,Laing O'Rourke
Esther Sullivan,Senior BIM Coordinator,Arcadis
Eve Bellers,Sustainability Manager,Grosvenor
Fergus Harradence,Deputy Director Infrastructure and Construction,Department for Business and Trade
Fiona Moore,Nima Vice Chair,nima
Fran Parkins,"Digital Lead, Built Asset Consultancy",Rider Levett Bucknall UK
Francesca Amato,Supply Chain Sustainability Lead,Mclaren Group
Francesca Draper,Civils Quality Lead and Digitalisation Lead,BYLOR
Francesca Lofiego,Digital Lead,Structure Tone London
Fred Mills,Founder & MD,The B1M
Gaganjit Singh,Associate,Zaha Hadid Architects
Gareth Jacques,Laing O'Rourke,
Gareth Parkes,Head of Data & Analytics,Sir Robert McAlpine
Gary Bell,"Director, Real Estate Digital",Tuner & Townsend
Gary Cowan,Head of Digital Construction,Kane Group
George Bentley,PhD Researcher,University of Bath
George Mokhtar,Director,Turner and Townsend
George Smithies,Co-Founder,innDex
George Stevenson,Chair,BIM in Asset Management
Georgia McHugh,Head of Information Management,BW: Worklace Experts
Gordon Mitchell,Founder,Wholus
Graeme Braybrooke,RIB Candy Regional Lead UK&I,RIB Software
Graham Bateson,Principal Surveyor,Ramboll
Graham Corder,Director of Development,Steyn Group
Greg Byrne,Digital Project Solutions - Business Partner,BAM Ireland
